"Airport..Name" "Origin.State" "origin_id"
"WAUPACA MUNICIPAL ARPT" "Wisconsin" 551
"JOHNSTON ATOLL ARPT" "Prince Edward Island" 552
"CAUSEY ARPT" "North Carolina" 553
"WAUKEGAN REGIONAL ARPT" "Illinois" 554
NULL "Wisconsin" 555
"ANTRIM COUNTY ARPT" "Michigan" 556
"YAMPA VALLEY" "Colorado" 557
"OHIO STATE UNIVERSITY" "Ohio" 558
"MALCOLM MCKINNON ARPT" "Georgia" 559
"WAUTOMA MUNICIPAL" "Wisconsin" 560
"PALMDALE REGIONAL ARPT" "California" 561
"COLLIN COUNTY RGNL ARPT AT MCKINNEY" "Texas" 562
"BRUCE CAMPBELL FIELD" "Mississippi" 563
"MEMORIAL FIELD" "Arkansas" 564
"CHIPPEWA COUNTY INTL ARPT" "Michigan" 565
"L F WADE INTL ARPT" "N/A" 566
"FIUMICINO ARPT" "N/A" 567
"AUBURN-LEWISTON MUNICIPAL" "Maine" 568
"DELTA COUNTY ARPT" "Michigan" 569
"BOLINDER FIELD - TOOELE VALLEY ARPT" "Utah" 570
"GREELEY-WELD COUNTY ARPT" "Colorado" 571
"SANTA MARIA PUBLIC" "California" 572
"WESTOVER ARB/METRO ARPT" "Massachusetts" 573
"TRI-CITY ARPT (PARSONS)" "Kansas" 574
"SAN PEDRO - SULA" "N/A" 575
"HOUMA-TERREBONNE ARPT" "Louisiana" 576
"BARKLEY REGIONAL ARPT" "Kentucky" 577
"INDIRA GANDHI INTL" "N/A" 578
"MONTGOMERY FIELD ARPT" "California" 579
"PUERTO VALLARTA" "N/A" 580
"ST AUGUSTINE" "Florida" 581
"MEADOWS FIELD ARPT" "California" 582
"GUNNISON COUNTY" "Colorado" 583
"NORTH ISLAND NAS (HALSEY FIELD)" "California" 584
"FULLERTON MUNICIPAL ARPT" "California" 585
"ZAMPERINI FIELD ARPT" "California" 586
"JOSLIN FIELD - MAGIC VALLEY REGIONAL" "Idaho" 587
"TROY MUNICIPAL ARPT" "Alabama" 588
"SIERRA BLANCA REGIONAL" "New Mexico" 589
"VIRACOPOS-CAMPINAS INTL ARPT" "N/A" 590
"ROCHE HARBOR (SPB)" "Washington" 591
"REEDSBURG MUNICIPAL" "Wisconsin" 592
"NORTHEAST ALABAMA REGIONAL ARPT" "Alabama" 593
"CARROLL COUNTY REGIONAL ARPT" "Maryland" 594
"MC ALLEN MILLER INTL" "Texas" 595
"LLANO MUNICIPAL ARPT" "Texas" 596
"BOMBAY/MUMBAI" "N/A" 597
"SLIDELL AIRPORT" "Louisiana" 598
"KEOKUK MUNICIPAL ARPT" "Iowa" 599
"PASO ROBLES MUNICIPAL ARPT" "California" 600
"MISSOULA INTL ARPT" "Montana" 601
"GAINESVILLE REG ARPT" "Florida" 602
"CHARLOTTE-MONROE  EXECUTIVE ARPT" "North Carolina" 603
"DILLINGHAM AIRFIELD" "Hawaii" 604
"BARNES JEWISH HOSPITAL" "Missouri" 605
"HOMESTEAD AIR RESERVE BASE" "Florida" 606
"MANAGUA INTL ARPT" "N/A" 607
"HAIL" "N/A" 608
NULL "Idaho" 609
"SAN LUIS VALLEY REGIONAL" "Colorado" 610
"CANCUN INTL" "N/A" 611
"THOMAS RUSSELL FIELD" "Alabama" 612
NULL "Georgia" 613
NULL "New Hampshire" 614
"MANHATTAN REGIONAL" "Kansas" 615
"INDIANAPOLIS METROPOLITAN ARPT" "Indiana" 616
"ELKO REGIONAL ARPT" "Nevada" 617
"PORTER COUNTY MUNICIPAL" "Indiana" 618
"WILLIAMSPORT" "Pennsylvania" 619
NULL "Oklahoma" 620
"LANCASTER ARPT (PA)" "Pennsylvania" 621
"VICTORIA INTL" "British Columbia" 622
"COLUMBIA COUNTY ARPT" "New York" 623
"COEUR D'ALENE ARPT" "Idaho" 624
"OWEN ROBERTS INTL" "N/A" 625
"STARKS TWIN OAKS" "Oregon" 626
"SAN CARLOS ARPT" "California" 627
"COBB COUNTY ARPT-MC COLLUM FIELD" "Georgia" 628
"ALBERT WHITTED" "Florida" 629
"PALO ALTO ARPT OF SANTA CLARA COUNTY" "California" 630
"NORTH PLATTE REGIONAL" "Nebraska" 631
"PRESTWICK" "N/A" 632
"CHANDLER MUNICIPAL ARPT" "Arizona" 633
"SANGSTER INTL" "N/A" 634
"WESTHEIMER AIR PARK" "Texas" 635
"ROCKY MOUNTAIN METROPOLITAN ARPT" "Colorado" 636
"STROTHER FIELD ARPT" "Kansas" 637
"UGNU-KUPARUK ARPT" "Alaska" 638
"NORTHEAST PHILADELPHIA ARPT" "Pennsylvania" 639
"BLOCK ISLAND STATE" "Rhode Island" 640
"KEY WEST INTL ARPT" "Florida" 641
"PIKE COUNTY ARPT - HATCHER FIELD" "Kentucky" 642
"BILLINGS LOGAN INTL" "Montana" 643
"SOUTH ST PAUL MUNICIPAL ARPT" "Minnesota" 644
"PELLSTON REGIONAL" "Michigan" 645
"TRUKEE-TAHOE ARPT" "California" 646
"COLUMBIA REGIONAL" "Missouri" 647
"KISSIMMEE GATEWAY ARPT" "Florida" 648
"STELLAR AIRPARK" "Arizona" 649
"GREENWOOD-LEFLORE ARPT" "Mississippi" 650
"AUSTIN-BERGSTROM INT" "Texas" 651
"YAKIMA AIR TERMINAL" "Washington" 652
"DESTIN-FORT WALTON BEACH ARPT" "Florida" 653
"CALGARY INTL" "Alberta" 654
"DAVID'S ARPT" "Michigan" 655
NULL "Utah" 656
"SACRAMENTO MATHER ARPT" "California" 657
"THREE CASTLES ARPK" "Wisconsin" 658
"ARDMORE MUNICIPAL" "Oklahoma" 659
"DELAWARE COUNTY REGIONAL ARPT" "Indiana" 660
"ERNEST A LOVE FIELD" "Arizona" 661
"RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT" "North Carolina" 662
"WARRENTON-FAUQUIER" "Virginia" 663
"BENTON FIELD ARPT" "California" 664
"RIVERSIDE MUNICIPAL ARPT" "California" 665
"NORTH LITTLE ROCK MUNICIPAL ARPT" "Arkansas" 666
"CAPE MAY COUNTY ARPT" "New Jersey" 667
"EL MONTE ARPT" "California" 668
"BUFFALO AIRFIELD ARPT" "New York" 669
"GALLATIN FIELD ARPT" "Montana" 670
"DONA ANA COUNTY ARPT" "New Mexico" 671
"UNALASKA ARPT" "Alaska" 672
"HAWKINS FIELD ARPT" "Mississippi" 673
"FULTON COUNTY ARPT - BROWN FIELD" "Georgia" 674
"MUNICH INTL ARPT" "N/A" 675
"CAPITAL CITY ARPT (PA)" "Pennsylvania" 676
"GOLDEN TRIANGLE REGIONAL" "Mississippi" 677
"LANAI ARPT" "Hawaii" 678
"ASHE COUNTY" "North Carolina" 679
"MORGANTOWN MUNICIPAL ARPT" "West Virginia" 680
"STANSTEAD-LONDON" "N/A" 681
"JOPLIN REGIONAL" "Missouri" 682
"CHARLESTON EXECUTIVE ARPT" "South Carolina" 683
"LAKE HOOD (SPB)" "Alaska" 684
"EVANSVILLE REGIONAL" "Indiana" 685
"GATWICK - LONDON" "N/A" 686
"CHIPPEWA VALLEY REGIONAL ARPT" "Wisconsin" 687
"CLARK COUNTY REGIONAL ARPT (IN)" "Indiana" 688
"LONE STAR EXECUTIVE ARPT" "Texas" 689
"SARATOGA COUNTY ARPT" "New York" 690
"PHILIP BILLARD MUNICIPAL ARPT" "Kansas" 691
"JAMESTOWN REGIONAL" "North Dakota" 692
"PORTAGE COUNTY ARPT" "Ohio" 693
"LAKES REGIONAL ARPT" "New Hampshire" 694
"TUZLA AIR BASE" "N/A" 695
"KENT STATE UNIVERSITY" "Ohio" 696
"KALAELOA ARPT JOHN RODGERS FIELD" "Hawaii" 697
"CORTEZ MUNICIPAL ARPT" "Colorado" 698
"WINNIPEG INTL" "Manitoba" 699
"GLACIER PARK INTL" "Montana" 700
"ANDERSON REGIONAL" "South Carolina" 701
"SMITH REYOLDS ARPT" "North Carolina" 702
"EASTERN OREGON REGIONAL ARPT" "Oregon" 703
"LITTLE RIVER ARPT" "California" 704
"CONCORD REGIONAL ARPT" "North Carolina" 705
"SLOULIN FLD INTL ARPT" "North Dakota" 706
"SANTA FE MUNICIPAL" "New Mexico" 707
"SUGAR LAND REGIONAL ARPT" "Texas" 708
"CONGO TOWN BAHAMAS" "N/A" 709
"CHEYENNE REGIONAL ARPT" "Wyoming" 710
"GUADALAJARA, MEXICO" "N/A" 711
"TOLEDO EXECUTIVE ARPT" "Ohio" 712
"SKYLARK FIELD" "Texas" 713
"GRAND STRAND ARPT" "South Carolina" 714
"PUNTA GORDA ARPT" "Florida" 715
"MANITOWOC COUNTY ARPT" "Wisconsin" 716
"SHAWANO MUNICIPAL ARPT" "Wisconsin" 717
"NEWARK-HEATH ARPT" "Ohio" 718
"LAKE HAVASU CITY ARPT" "Arizona" 719
"BROOKINGS MUNICIPAL ARPT" "South Dakota" 720
"DAYTON-WRIGHT BROTHERS ARPT" "Ohio" 721
"TUPELO MUNICIPAL" "Mississippi" 722
"COUNCIL BLUFFS MUNICIPAL ARPT" "Iowa" 723
"OMAK ARPT" "Washington" 724
"MARIANNA MUNICIPAL ARPT" "Florida" 725
"FORD ARPT" "Michigan" 726
"PROVO MUNICIPAL ARPT" "Utah" 727
"SHENANDOAH VALLEY" "Virginia" 728
"FOUR CORNERS REGIONAL" "New Mexico" 729
"DELAND MUNICIPAL ARPT" "Florida" 730
"MINOT INTL AIRPORT" "North Dakota" 731
NULL "Minnesota" 732
"H L SONNY CALLAHAN ARPT" "Alabama" 733
"WM FAIRCHILD INTL ARPT" "Washington" 734
"SMYRNA ARPT" "Tennessee" 735
"CORONADO ARPT" "New Mexico" 736
"ROCK COUNTY" "Wisconsin" 737
"HOMER ARPT" "Alaska" 738
"WITHAM FIELD ARPT" "Florida" 739
"MID-DELTA REGIONAL" "Mississippi" 740
"HOMESTEAD GENERAL AVIATION ARPT" "Florida" 741
"GENESEE COUNTY ARPT" "New York" 742
"WHITEMAN AIRPORT" "California" 743
"COLD BAY ARPT" "Alaska" 744
"LAWTON-FORT SILL REGIONAL ARPT" "Oklahoma" 745
"FINDLAY ARPT" "Ohio" 746
"ALLEGHENY GEN HOSP EMERG HELIPORT" "Pennsylvania" 747
"WASHINGTON COUNTY" "Pennsylvania" 748
"HANCOCK COUNTY-BAR HARBOR" "Maine" 749
"SCHOLES INTL ARPT AT GALVESTON" "Texas" 750
"NORTH FORK VALLEY" "Colorado" 751
"OKEECHOBEE COUNTY ARPT" "Florida" 752
"CHESTER COUNTY G O CARLSON ARPT" "Pennsylvania" 753
"MOBILE DOWNTOWN ARPT" "Alabama" 754
"WILLIAMSON COUNTY REGIONAL" "Illinois" 755
"ANN ARBOR MUNICIPAL" "Michigan" 756
"BOCA RATON ARPT" "Florida" 757
"SPACE COAST REGIONAL" "Florida" 758
"PINE MOUNTAIN LAKE ARPT" "California" 759
"BARNESVILLE-BRADFLD" "Ohio" 760
"BOULDER CITY MUNICIPAL ARPT" "Nevada" 761
"ST LANDRY PARISH ARPT-AHART FIELD" "Louisiana" 762
"JONESBORO MUNICIPAL ARPT" "Arkansas" 763
"FAYETTVILLE MUNICIPAL" "North Carolina" 764
"BESSEMER ARPT" "Alabama" 765
"BRENNER FIELD ARPT" "Nebraska" 766
"ANNISTON METROPOLITAN ARPT" "Alabama" 767
"MASON COUNTY ARPT (WV)" "West Virginia" 768
"COZUMEL MEXICO" "N/A" 769
"IWAKUNI" "N/A" 770
"GENERAL ESCOBEDO INTL" "N/A" 771
"LAGRANGE-CALLAWAY ARPT" "Georgia" 772
NULL "North Carolina" 773
"SEASIDE MUNICIPAL ARPT" "Oregon" 774
NULL "Kansas" 775
"LA GRANDE/UNION COUNTY ARPT" "Oregon" 776
"CLEARVIEW AIRPARK" "Maryland" 777
"DOTHAN REGIONAL ARPT" "Alabama" 778
"MUIR ARMY AIRFIELD" "Pennsylvania" 779
"JACKSON HOLE" "Wyoming" 780
"YOUNGSTOWN ELSER METRO" "Ohio" 781
"SCOTTSDALE ARPT" "Arizona" 782
"LOUISA COUNTY ARPT/FREEMAN FLD" "Virginia" 783
"VENANGO REGIONAL" "Pennsylvania" 784
"JACQUELINE COCHRAN REGIONAL ARPT" "California" 785
"PITTSFIELD MUNICIPAL (ME)" "Maine" 786
"FARMVILLE REGIONAL ARPT" "Virginia" 787
"GEORGE R CARR MEMORIAL" "Louisiana" 788
"MEADOW LAKE ARPT" "Colorado" 789
"WATERTOWN" "South Dakota" 790
"TYONEK ARPT" "Alaska" 791
"VANDENBERG AIR FORCE BASE" "California" 792
"PEARLAND REGIONAL ARPT" "Texas" 793
"PORT-AU-PRINCE INTL" "N/A" 794
"SOEKARNO-HATTA" "N/A" 795
"JUNEAU INTL ARPT" "Alaska" 796
"NAIROBI JOMO KENYATA" "N/A" 797
NULL "Alabama" 798
"TONCONTIN INTL" "N/A" 799
"MCMINN COUNTY ARPT" "Tennessee" 800
"HURON REGIONAL ARPT" "South Dakota" 801
"PAGO PAGO INTL" "Prince Edward Island" 802
"DEADHORSE ARPT" "Alaska" 803
"BROWNSVL/SO PADRE IS" "Texas" 804
"DAUPHIN ISLAND ARPT" "Alabama" 805
"MASON CITY MUNICIPAL" "Iowa" 806
"NAVAJO LAKE ARPT" "New Mexico" 807
"RALEIGH COUNTY MEMORIAL" "West Virginia" 808
"LA CHINITA INTL" "N/A" 809
"SOUTHBRIDGE MUNICIPAL ARPT" "Massachusetts" 810
"ORANJESTAD/REINA BEA" "N/A" 811
"CAMARILLO" "California" 812
"LARAMIE REGIONAL" "Wyoming" 813
"JOHNSON COUNTY EXECUTIVE ARPT" "Kansas" 814
"HAMILTON ISLAND" "N/A" 815
"BIRMINGHAM INTL(ENGLAND)" "N/A" 816
"ZELIENOPLE MUNICIPAL" "Pennsylvania" 817
"HALIFAX INTL" "Nova Scotia" 818
"LYNCHBURG REGIONAL" "Virginia" 819
"ROSEAU MUNI ARPT/RUDY BILLBERG FLD" "Minnesota" 820
"DAVIS MONTHAN AIR FORCE BASE" "Arizona" 821
"ARKANSAS INTERNATIONAL ARPT" "Arkansas" 822
"ALBERT J ELLIS" "North Carolina" 823
"GAINESVILLE MUNICIPAL ARPT" "Texas" 824
"ANKENY REGIONAL" "Iowa" 825
"TOKSOOK BAY ARPT" "Alaska" 826
"FORT DODGE REGIONAL" "Iowa" 827
"AQUASCALIENTES" "N/A" 828
NULL "Virgin Islands" 829
"LITCHFIELD MUNICIPAL" "Illinois" 830
"CHANGI INTL (SINGAPORE)" "N/A" 831
"IDAHO FALLS REGIONAL ARPT" "Idaho" 832
"GOGEBIC COUNTY" "Michigan" 833
"GARDEN CITY REGIONAL" "Kansas" 834
"PUT IN BAY" "Ohio" 835
"WALDRONAIRE ARPT" "Washington" 836
"MENOMINEE-MARINETTE TWIN CO ARPT" "Michigan" 837
"RED LODGE ARPT" "Montana" 838
"SUMMERSVILLE ARPT" "West Virginia" 839
"SANTA MONICA MUNICIPAL" "California" 840
"PORTLAND-HILLSBORO ARPT" "Oregon" 841
"GREATER KANKAKEE ARPT" "Illinois" 842
"ROCK SPRINGS-SWEETWATER CO" "Wyoming" 843
"WABASH MUNICIPAL ARPT" "Indiana" 844
"AUBURN-OPELIKA RG PITTS" "Alabama" 845
"MONTAUK ARPT" "New York" 846
"ST. GEORGE  ARPT (AK)" "Alaska" 847
"WORTHINGTON MUNICIPAL ARPT" "Minnesota" 848
"HAMPTON ROADS EXECUTIVE" "Virginia" 849
"RIVERVIEW" "Michigan" 850
"WALLA WALLA REGIONAL" "Washington" 851
"MANLEY HOT SPRINGS ARPT" "Alaska" 852
"MORGANTOWN ARPT" "Pennsylvania" 853
"HENDERSON FIELD" "Prince Edward Island" 854
"SAN CLEMENTE ISLAND NALF" "California" 855
"WAYNE MUNICIPAL ARPT" "Nebraska" 856
"VALDOSTA REGIONAL" "Georgia" 857
"MICHAEL J SMITH FIELD ARPT" "North Carolina" 858
"OHIO UNIVERSITY ARPT" "Ohio" 859
"TAIBEI INTL" "N/A" 860
"JONES MEMORIAL" "Oklahoma" 861
"PANGBORN MEMORIAL" "Washington" 862
"WINGS FIELD ARPT" "Pennsylvania" 863
"EDWARDS AIR FORCE BASE" "California" 864
"HEWANORRA ST LUCIA" "N/A" 865
"RIVERTON REGIONAL" "Wyoming" 866
"GILLETTE CAMPBELL CO" "Wyoming" 867
"BUTLER COUNTY REGIONAL" "Ohio" 868
"GROSSE ILE MUNICIPAL ARPT" "Michigan" 869
"CHANDLER FIELD ARPT" "Minnesota" 870
"BUCHOLZ AAF MARSHALL" "Prince Edward Island" 871
"DOVER AIR FORCE BASE" "Delaware" 872
"BRAINERD-CROW WING" "Minnesota" 873
"STAFFORD REGIONAL ARPT" "Virginia" 874
"EMMONAK ARPT" "Alaska" 875
"CHAUTAUQUA COUNTY/JAMESTOWN ARPT" "New York" 876
"ST CATHARINES/NIAGARA DISTRICT" "Ontario" 877
"ST LOUIS DOWNTOWN" "Illinois" 878
"JEFFERSON COUNTY ARPT" "Ohio" 879
"JOHN C TUNE ARPT" "Tennessee" 880
"MANCHESTER ENGLAND" "N/A" 881
"INCHEON INTL" "N/A" 882
"ST. LUCIE COUNTY INTL ARPT" "Florida" 883
"AUGUSTA STATE" "Maine" 884
"VENICE MUNICIPAL AIRPORT" "Florida" 885
"ESTHERVILLE MUNICIPAL ARPT" "Iowa" 886
"STUTTGART MUNICIPAL ARPT" "Arkansas" 887
"CAPODICHINO (NAPLES)" "N/A" 888
"OCEAN REEF CLUB" "Florida" 889
"WALLBLAKE" "N/A" 890
"MANILA-NINOY AQUINO INTL" "N/A" 891
"ASTORIA REGIONAL" "Oregon" 892
"CHESTER ARPT" "Connecticut" 893
"BOWERMAN ARPT" "Washington" 894
"BERMUDA DUNES ARPT" "California" 895
NULL "South Dakota" 896
"WEST BEND MUNICIPAL ARPT" "Wisconsin" 897
"MCCLELLAN-PALOMAR" "California" 898
"SIDNEY MUNICIPAL AR[T" "Nebraska" 899
"WILLOWS-GLENN COUNTY ARPT" "California" 900
NULL "Hawaii" 901
"LEWIS UNIVERSITY ARPT" "Illinois" 902
"CALI/VALLE" "N/A" 903
"MIDDLE GEORGIA REGIONAL" "Georgia" 904
"TEHACHAPI MUNICIPAL ARPT" "California" 905
"DURANGO-LA PLATA CO" "Colorado" 906
"MOORE AIRPORT (WILDORADO)" "Texas" 907
"PUNTA CANA INTL" "N/A" 908
"ATKINSON MUNICIPAL" "Kansas" 909
"ARCO HIGH ISLAND HELIPORT" "Texas" 910
"WATERBURY-OXFORD ARPT" "Connecticut" 911
"GNOSS FIELD ARPT" "California" 912
"SOUTH ALABAMA REGIONAL ARPT" "Alabama" 913
NULL "South Carolina" 914
"MONTEREY PENINSULA" "California" 915
"FREEPORT INTL" "N/A" 916
"LANSING MUNICIPAL ARPT" "Illinois" 917
"MC CLELLAN AIRFIELD" "California" 918
"TAVERNAERO PARK" "Florida" 919
"GREENSBURG JEANETTE REGIONAL ARPT" "Pennsylvania" 920
"PAGE MUNICIPAL" "Arizona" 921
"TWIN HILLS ARPT" "Alaska" 922
NULL "Mississippi" 923
"MILLVILLE MUNICIPAL ARPT" "New Jersey" 924
"POSSUM KINGDOM ARPT" "Texas" 925
"SYDNEY INTL ARPT" "N/A" 926
"REDDING MUNICIPAL" "California" 927
"PUSAN" "N/A" 928
"COLONEL JAMES JABARA ARPT" "Kansas" 929
"CLARK FIELD MUNICIPAL ARPT" "Texas" 930
NULL "Arkansas" 931
"FLOYD BENNETT MEMORIAL" "New York" 932
"MILLARD ARPT" "Nebraska" 933
"MONTREAL INTL (MIRABEL)" "Quebec" 934
"PONCA CITY MUNICIPAL ARPT" "Oklahoma" 935
"MCCORD FIELD ARPT" "Washington" 936
"DYERSBURG REGIONAL ARPT" "Tennessee" 937
"HERNANDO COUNTY" "Florida" 938
"FRIEDMAN MEMORIAL" "Idaho" 939
"WALLOPS FLIGHT FACILITY" "Virginia" 940
"MONTGOMERY CO AIRPARK" "Maryland" 941
"EDMONTON INTL" "Alberta" 942
"NORTH PERRY ARPT" "Florida" 943
"ORANGE COUNTY ARPT (NY)" "New York" 944
"BOIRE FIELD" "New Hampshire" 945
"BUCKLEY ANGB ARPT" "Colorado" 946
"DANIEL ODUBER QUIROS INTL" "N/A" 947
"T B LETTSOME INTL" "N/A" 948
"OCONEE COUNTY REGIONAL ARPT" "South Carolina" 949
"NUT TREE AIRPORT" "California" 950
"MOUNT OLIVE MUNICIPAL ARPT" "North Carolina" 951
"JACK EDWARDS ARPT" "Alabama" 952
NULL "North Dakota" 953
"PLYMOUTH MUNICIPAL (IN)" "Indiana" 954
"KNOXVILLE DOWNTOWN ISLAND ARPT" "Tennessee" 955
"OLYMPIA ARPT" "Washington" 956
"SCHAFER/USFS" "Montana" 957
"NORWOOD MEMORIAL ARPT" "Massachusetts" 958
"FINLEYVILLE AIRPARK" "Pennsylvania" 959
"EDWARD G PITKA SR ARPT" "Alaska" 960
"PHOENIX GOODYEAR ARPT" "Arizona" 961
"MIDDLE BASS-EAST POINT" "Ohio" 962
"RAMSTEIN AIR FORCE BASE" "N/A" 963
"CLARKS POINT ARPT" "Alaska" 964
"WARREN FIELD ARPT" "North Carolina" 965
"DAVIDSON COUNTY ARPT" "North Carolina" 966
"ROCKY MOUNT WILSON RGNL ARPT" "North Carolina" 967
"NEWTOK ARPT" "Alaska" 968
"LT WARREN EATON ARPT" "New York" 969
"WILLOUGHBY LOST NATION MUNI ARPT" "Ohio" 970
"MURFREESBORO MUNICIPAL ARPT" "Tennessee" 971
"KASTRUP AIRPORT" "N/A" 972
"HOUSTON-SOUTHWEST ARPT" "Texas" 973
"MANKATO REGIONAL ARPT" "Minnesota" 974
"SPARTANBURG DOWNTOWN MEMORIAL ARPT" "South Carolina" 975
"MC KELLER FLD ARPT" "Tennessee" 976
"ADNAN MENDERES" "N/A" 977
"GOODSPEED" "Connecticut" 978
"EASTON/NEWMAN FIELD ARPT" "Maryland" 979
"WINCHESTER REGIONAL ARPT" "Virginia" 980
"BERT MOONEY" "Montana" 981
"PETERSBURG JAMES A JOHNSON ARPT" "Alaska" 982
"OWATONNA DEGNER REGIONAL ARPT" "Minnesota" 983
"PRIVATE AIR STRIP" "Arizona" 984
"DUBOIS REGIONAL ARPT" "Pennsylvania" 985
"TANGIER ISLAND ARPT" "Virginia" 986
"WILLIAMSBURG-JAMESTOWN ARPT" "Virginia" 987
"ARNOLD PALMER REGIONAL" "Pennsylvania" 988
"SHORT CREEK ARPT" "Tennessee" 989
"FULTON COUNTY ARPT (IN)" "Indiana" 990
"DEVILS LAKE REGIONAL ARPT" "North Dakota" 991
"THUNDER BAY" "Ontario" 992
"CREVE COEUR ARPT" "Missouri" 993
"ADIRONDAK REGIONAL ARPT" "New York" 994
"LOYOLA U MED CTR HELIPORT" "Illinois" 995
"POMPANO BEACH AIRPARK" "Florida" 996
"BELLINGHAM INTL" "Washington" 997
"SAND POINT ARPT" "Alaska" 998
"DAVIS AIRPORT" "Maryland" 999
"BUCKINGHAM FIELD ARPT" "Florida" 1000
"RUTLAND STATE ARPT" "Vermont" 1001
"CARROLL COUNTY-TOLSON ARPT" "Ohio" 1002
"MIAMI COUNTY ARPT" "Kansas" 1003
"ORANGE COUNTY ARPT (TX)" "Texas" 1004
"INCIRLIK AIR BASE" "N/A" 1005
"BLACKWELL-TONKAWA MUNICIPAL" "Oklahoma" 1006
"MUSCLE SHOALS REGIONAL" "Alabama" 1007
"RULEVILLE-DREW ARPT" "Mississippi" 1008
"RYAN FIELD ARPT" "Arizona" 1009
"LONDON" "Ontario" 1010
"MARION COUNTY REGIONAL ARPT" "Arkansas" 1011
"BELIZE INTERNATIONAL ARPT" "N/A" 1012
"PENANG INTL" "N/A" 1013
"ANIMAS AIR PARK" "Colorado" 1014
"LAKE TEXOMA STATE PARK ARPT" "Oklahoma" 1015
"ROBERT SIBLEY ARPT" "Tennessee" 1016
"PLYMOUTH MUNICIPAL ARPT (MA)" "Massachusetts" 1017
"MANDAN MUNICIPAL" "North Dakota" 1018
"SANTA ROSA ROUTE 66" "New Mexico" 1019
"KENTUCKY DAM STATE PARK" "Kentucky" 1020
"BEARCE ARPT" "Arkansas" 1021
"MC ALESTER REGIONAL ARPT" "Oklahoma" 1022
"JACK MCNAMARA FLD" "California" 1023
"PORTLAND-TROUTDALE ARPT" "Oregon" 1024
"NEW KENT COUNTY" "Virginia" 1025
"SHANNON INTL" "N/A" 1026
"SPRUCE CREEK ARPT" "Florida" 1027
"CEBU AIRPORT" "N/A" 1028
"CECIL ARPT" "Florida" 1029
"SUMTER ARPT" "South Carolina" 1030
"HOUSTON MEMORIAL ARPT" "Missouri" 1031
"KUUJJUARAPIK" "Quebec" 1032
"IMPERIAL COUNTY ARPT" "California" 1033
"BARCELONA ARPT" "N/A" 1034
"KENOSHA REGIONAL ARPT" "Wisconsin" 1035
"SUMMIT AIRPORT" "Delaware" 1036
"PROVIDENCIALES INTL" "N/A" 1037
"CLAXTON-EVANS COUNTY ARPT" "Georgia" 1038
"SHREVEPORT DOWNTOWN ARPT" "Louisiana" 1039
"MELVILLE HALL AIRPORT" "N/A" 1040
"WESTERLY STATE ARPT" "Rhode Island" 1041
"PORT OCALL HELIPORT" "California" 1042
"DANIEL ODUBER QUIROS INTL" "California" 1043
"EUGENIO MARIA DE HOSTOS ARPT" "Puerto Rico" 1044
"ARTURO MICHELENA INTL" "N/A" 1045
"LENAWEE COUNTY ARPT" "Michigan" 1046
"FLAGLER COUNTY ARPT" "Florida" 1047
"PICKENS COUNTY ARPT (SC)" "South Carolina" 1048
"MONROE COUNTY" "Indiana" 1049
"DILLANT-HOPKINS ARPT" "New Hampshire" 1050
"ROBT L BRADSHAW INTL" "N/A" 1051
"DOUBLE EAGLE II ARPT" "New Mexico" 1052
"KAOHSIUNG INTL" "N/A" 1053
"MONETT MUNICIPAL ARPT" "Missouri" 1054
"SHERMAN ARMY AIRFIELD" "Kansas" 1055
"CEDAR MILLS" "Texas" 1056
"PRICE COUNTY ARPT" "Wisconsin" 1057
"SUSSEX COUNTY ARPT" "Delaware" 1058
"MUSKOKA" "Ontario" 1059
"HATTIESBURG-LAUREL" "Mississippi" 1060
"MADRID-BARAJAS" "N/A" 1061
"TAUNTON MUNICIPAL ARPT KING FIELD" "Massachusetts" 1062
"FRANKLIN COUNTY ARPT" "Tennessee" 1063
"LEBANON MUNICIPAL ARPT" "New Hampshire" 1064
"LINCOLN PARK ARPT" "New Jersey" 1065
"GARY CHICAGO INTL" "Indiana" 1066
"VIRGIL I GRISSOM MUNICIPAL" "Indiana" 1067
"LAGO VISTA-RUSY ALLEN" "Texas" 1068
"SHOW LOW REGIONAL ARPT" "Arizona" 1069
"GROVETON-TRINITY COUNTY" "Texas" 1070
"BERLIN MUNICIPAL" "New Hampshire" 1071
"ROLLA NATIONAL ARPT" "Missouri" 1072
"GUAYMAS INTL" "N/A" 1073
"ALBERT LEA MUNICIPAL ARPT" "Minnesota" 1074
"BETZ ARPT" "Michigan" 1075
"BEN GURION ARPT" "N/A" 1076
"NOGALES INTL ARPT" "Arizona" 1077
"AUBURN MUNICIPAL (CA)" "California" 1078
"ROBERTSON FIELD" "Connecticut" 1079
"MOUNT HAWLEY" "Illinois" 1080
"FRENCH LICK MUNICIPAL ARPT" "Indiana" 1081
"JACKSONVILLE NAS (TOWERS FIELD)" "Florida" 1082
"HARBOR SPRINGS ARPT" "Michigan" 1083
"GOSHEN MUNICIPAL ARPT" "Indiana" 1084
"ADAMS COUNTY- LEGION FIELD" "Wisconsin" 1085
"SAIPAN INTL" "Prince Edward Island" 1086
"MANSFIELD MUNICIPAL" "Massachusetts" 1087
"NAGOYA JAPAN" "N/A" 1088
"WRANGELL ARPT" "Alaska" 1089
"HAMILTON MUNICIPAL ARPT" "New York" 1090
